model,chunk_strategy,metodo_extracao,mode,rerank,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,latency_avg_ms
text-embedding-3-large,fixed-size,markdown,flat,True,0.958,0.979,0.196,0.875,0.867,5397.9
text-embedding-3-large,fixed-size,texto,flat,True,0.958,0.958,0.21,0.898,0.872,6497.9
text-embedding-3-small,fixed-size,markdown,flat,True,0.917,0.938,0.191,0.83,0.825,6469.4
text-embedding-3-large,fixed-size,markdown,flat,False,0.896,0.938,0.177,0.724,0.748,14.6
text-embedding-3-large,fixed-size,texto,flat,False,0.896,0.938,0.2,0.721,0.745,13.4
text-embedding-3-small,fixed-size,texto,flat,True,0.896,0.917,0.194,0.845,0.827,6500.1
text-embedding-3-small,fixed-size,markdown,flat,False,0.833,0.875,0.17,0.615,0.63,12.6
text-embedding-3-small,fixed-size,texto,flat,False,0.833,0.854,0.189,0.621,0.643,13.0
text-embedding-3-small,hierarchical-child,texto,hierarchical,True,0.646,0.854,0.135,0.519,0.528,6375.7
text-embedding-3-small,article-aware,texto,flat,True,0.604,0.854,0.127,0.514,0.514,6283.3
text-embedding-3-small,hierarchical-child,texto,flat,True,0.625,0.854,0.115,0.498,0.51,5155.8
text-embedding-3-large,hierarchical-child,texto,flat,True,0.604,0.854,0.112,0.462,0.48,6316.4
text-embedding-3-large,article-aware,texto,flat,True,0.667,0.833,0.133,0.506,0.526,6336.0
text-embedding-3-large,hierarchical-child,texto,hierarchical,True,0.646,0.833,0.129,0.493,0.512,5238.4
text-embedding-3-large,article-aware,texto,flat,False,0.625,0.833,0.111,0.41,0.465,23.1
text-embedding-3-large,hierarchical-child,texto,hierarchical,False,0.583,0.812,0.119,0.438,0.459,32.6
text-embedding-3-large,hierarchical-child,texto,flat,False,0.542,0.812,0.092,0.364,0.401,34.3
text-embedding-3-large,article-aware,markdown,flat,True,0.521,0.812,0.085,0.334,0.372,5704.9
text-embedding-3-large,hierarchical-child,markdown,hierarchical,False,0.438,0.812,0.071,0.303,0.329,87.0
text-embedding-3-large,hierarchical-child,markdown,flat,False,0.438,0.812,0.06,0.291,0.321,79.8
text-embedding-3-large,article-aware,markdown,flat,False,0.417,0.812,0.062,0.264,0.298,72.7
text-embedding-3-small,hierarchical-child,markdown,hierarchical,True,0.542,0.792,0.092,0.386,0.415,5211.8
text-embedding-3-small,hierarchical-child,markdown,flat,True,0.521,0.792,0.081,0.378,0.405,6487.0
text-embedding-3-small,article-aware,markdown,flat,True,0.521,0.792,0.083,0.369,0.4,6377.1
text-embedding-3-large,hierarchical-child,markdown,hierarchical,True,0.5,0.792,0.085,0.332,0.365,5191.6
text-embedding-3-large,hierarchical-child,markdown,flat,True,0.479,0.792,0.073,0.328,0.361,5385.7
text-embedding-3-small,hierarchical-child,markdown,hierarchical,False,0.438,0.792,0.067,0.218,0.266,57.1
text-embedding-3-small,hierarchical-child,markdown,flat,False,0.417,0.792,0.056,0.216,0.259,57.6
text-embedding-3-small,hierarchical-child,texto,hierarchical,False,0.542,0.771,0.098,0.326,0.367,23.0
text-embedding-3-small,hierarchical-child,texto,flat,False,0.479,0.771,0.073,0.285,0.324,22.3
text-embedding-3-small,article-aware,markdown,flat,False,0.438,0.75,0.062,0.207,0.261,53.1
text-embedding-3-small,article-aware,texto,flat,False,0.479,0.667,0.088,0.227,0.285,17.6
