provider,model,chunk_strategy,metodo_extracao,mode,rerank,num_questions,recall_at_k,doc_recall_at_k,precision_at_k,mrr_at_k,ndcg_at_k,latency_avg_ms,latency_p95_ms,num_questions_total,num_questions_evaluated,num_questions_skipped
openai,text-embedding-3-large,fixed-size,markdown,flat,False,48,0.7708333333333334,0.8541666666666666,0.12291666666666667,0.5833333333333334,0.62432506990569,673.0663845216137,1739.212457992835,50,48,2
openai,text-embedding-3-large,article-aware,markdown,flat,False,48,0.3333333333333333,0.5833333333333334,0.03958333333333334,0.2050925925925926,0.23260536267824533,38.81416410422389,75.27020800625905,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,flat,False,48,0.375,0.6458333333333334,0.04166666666666667,0.2019675925925926,0.24461016032057817,33.03167529065831,36.27154199057259,50,48,2
openai,text-embedding-3-large,hierarchical-child,markdown,hierarchical,False,48,0.375,0.6458333333333334,0.04791666666666667,0.2142361111111111,0.25619209254793956,52.31110072994246,93.9689160004491,50,48,2
openai,text-embedding-3-large,fixed-size,texto,flat,False,48,0.7708333333333334,0.8541666666666666,0.13958333333333334,0.5713789682539683,0.6057234082766703,5.9075911049149,10.380541003542021,50,48,2
openai,text-embedding-3-large,article-aware,texto,flat,False,48,0.5,0.625,0.075,0.2818287037037037,0.33802282573597814,11.571753478165192,14.423583997995593,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,flat,False,48,0.4583333333333333,0.5625,0.06041666666666667,0.2668402777777778,0.315945500996421,16.189250770366925,20.93316600075923,50,48,2
openai,text-embedding-3-large,hierarchical-child,texto,hierarchical,False,48,0.4583333333333333,0.5625,0.075,0.3272569444444444,0.3492945605825056,18.246695271348774,21.543833005125634,50,48,2
openai,text-embedding-3-small,fixed-size,markdown,flat,False,48,0.6458333333333334,0.7916666666666666,0.10833333333333334,0.4644097222222222,0.4858041678523655,528.4133576445432,893.9276659948518,50,48,2
openai,text-embedding-3-small,article-aware,markdown,flat,False,48,0.2708333333333333,0.5,0.029166666666666667,0.13668981481481482,0.168160327364918,13.280610166475526,15.155749992118217,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,flat,False,48,0.25,0.4791666666666667,0.025,0.1388888888888889,0.164686467488174,14.692476523123332,18.84016599797178,50,48,2
openai,text-embedding-3-small,hierarchical-child,markdown,hierarchical,False,48,0.2708333333333333,0.4791666666666667,0.03125,0.1412037037037037,0.1721079426814984,17.744656270527532,18.79850000841543,50,48,2
openai,text-embedding-3-small,fixed-size,texto,flat,False,48,0.7083333333333334,0.8333333333333334,0.12916666666666668,0.43703703703703706,0.4900876825979869,2.989056458015208,3.215832999558188,50,48,2
openai,text-embedding-3-small,article-aware,texto,flat,False,48,0.2708333333333333,0.3958333333333333,0.03958333333333333,0.13931878306878306,0.16833032828253974,5.83474395837887,6.168624997371808,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,flat,False,48,0.375,0.4791666666666667,0.04583333333333334,0.16805555555555557,0.21377228068813572,7.5048472911779145,8.048625008086674,50,48,2
openai,text-embedding-3-small,hierarchical-child,texto,hierarchical,False,48,0.3958333333333333,0.4791666666666667,0.04791666666666667,0.18564814814814815,0.23503927810863148,10.911394124680859,12.33408298867289,50,48,2
